,afr,amh,ara,asm,ast,azj,bel,bul,ben,bos,cat,ceb,ces,cym,dan,deu,ell,eng,spa,est,fas,ful,fin,fra,gle,glg,guj,hau,heb,hin,hrv,hun,hye,ind,ibo,isl,ita,jpn,jav,kat,kam,kea,kaz,khm,kan,kor,kur,kir,ltz,lug,lin,lao,lit,luo,lav,mri,mkd,mal,mon,mar,msa,mlt,mya,npi,nld,nob,nso,nya,oci,orm,ory,pan,pol,pus,por,ron,rus,snd,slk,slv,sna,som,srp,swe,swh,tam,tel,tgk,tha,tgl,tur,ukr,umb,urd,uzb,vie,wol,xho,yor,zho_simp,zul,zho_trad
cat,23.34,1.06,13.4,0.99,28.68,6.82,7.26,28.6,17.68,21.68,-,8.91,23.13,11.48,29.23,24.78,21.65,33.43,25.17,21.93,18.03,0.69,18.99,35.08,0.45,33.42,0.35,2.6,17.15,20.48,21.86,20.63,3.65,25.76,1.79,14.58,25.5,18.72,11.92,2.66,0.19,2.87,1.28,5.85,0.99,13.94,0.1,1.43,13.75,0.34,0.68,3.9,22.11,1.86,21.32,1.73,26.44,7.84,4.17,8.15,22.25,24.75,2.07,0.47,21.28,22.58,1.07,5.62,21.14,0.34,0.14,3.47,18.26,7.3,35.17,30.07,21.11,0.06,24.17,22.67,4.65,2.18,24.29,27.46,18.74,2.64,0.57,3.09,7.92,12.32,18.53,21.64,0.69,11.6,0.85,26.85,0.57,2.28,1.1,15.12,2.22,0
ceb,13.66,1.4,4.73,0.69,11.51,4.31,5.63,13.42,7.76,10.21,13.62,-,10.8,9.03,12.46,11.71,11.73,21.11,13.37,11.65,8.7,0.44,8.92,16.72,0.93,15.21,0.83,2.96,8.46,10.23,10.39,10.06,2.18,15.35,2.48,9.01,13.6,7.83,10.94,1.76,0.23,1.09,2.79,4.08,0.74,5.99,0.1,1.05,9.32,0.59,0.89,3.48,10.65,3.05,10.31,2.46,14.03,3.75,2.65,4.75,13.3,15.98,1.59,1.76,11.81,11.83,1.5,6.31,11.49,0.35,0.21,2.82,9.6,4.68,17.45,14.85,10.05,0.09,11.63,10.75,4.73,2.85,11.87,13.02,11.38,2.38,0.49,2.27,4.76,17.55,8.08,10.61,0.87,6.04,0.96,15.52,0.61,3.76,1.56,8.33,3.67,0
ces,23.78,1.01,14.12,1.35,21.77,7.18,1.99,31.01,18.99,27,23.8,6.93,-,10.45,29.64,26.76,22.47,32.27,22.47,25.9,19.24,0.38,21.44,33.36,0.32,27.88,0.32,2.59,19.36,22.04,27.07,24.73,3.33,26.7,1.56,16.39,24.02,20.65,11.93,2.51,0.19,2.22,0.86,6.26,0.88,15.71,0.1,1.66,12.98,0.34,0.77,3.13,26.39,1.92,16.84,1.69,29.7,8.5,5.13,8.66,23.67,22.47,2.12,0.55,23.14,22.86,0.9,5.75,17.62,0.41,0.17,3.47,21.96,7.6,31.63,30.11,25.13,0.07,34.73,27.92,4.44,2.14,27.84,29,20.52,2.84,0.56,2.71,8.63,9.04,19.86,25.46,0.67,12.19,1.11,29.35,0.43,2.17,0.99,17.2,2.39,0
cym,20.32,0.9,10.27,0.57,9.09,4.67,4.77,20.55,12.67,9.74,18.33,6.46,17.34,-,22.55,17.54,15.34,32.98,16.71,16.81,13.69,0.44,13.77,24.44,0.91,21.16,0.49,2.2,13.75,16.38,13.77,15.77,1.56,21.83,1.99,12.37,16.68,12.16,9.38,1.25,0.3,0.7,1.54,4.64,0.55,9.87,0.04,0.79,9.3,0.7,0.73,2.37,16.22,1,16.07,2.56,19.8,4.55,2.17,5.99,18.74,20.4,1.65,1.04,15.26,18.46,1.15,2.52,12.74,0.19,0.12,2.13,12.48,5.25,25.37,22.46,15.24,0.12,17.58,16.41,3.08,1.92,17.37,21.52,17.67,2.53,0.52,1.83,5.02,9.87,14.11,15.42,0.49,7.95,0.7,21.38,0.88,1.59,1.12,11.05,1.32,0
dan,29.43,1.26,15.17,1.23,23.63,7.46,3.92,32.94,19.71,26.35,27.66,6.76,28.47,12.87,-,31.29,23.63,41.08,24.05,27.12,20.71,0.48,24.27,36.95,0.34,30.57,0.25,2.95,20.77,23.52,26.83,25.63,4.05,30.05,1.84,18.87,25.8,21.34,13.77,2.37,0.22,2.57,0.92,6.54,0.74,17.06,0.09,1.48,16.16,0.36,0.65,3.69,26.46,2.4,26.4,1.97,30.49,8.54,5.43,7.75,26.82,26.33,2.28,0.33,26.32,31.78,1.27,6.46,20.41,0.45,0.08,3.36,20.69,8.41,35.93,33.16,24.83,0.08,29.51,26.77,4.97,2.48,28.31,39.45,21.52,1.28,0.47,2.7,10.19,10.94,21.88,25.07,0.76,12.75,1.1,31.51,0.68,2.47,1.25,17.74,2.66,0
deu,26.88,1.28,14.75,1.31,23.67,8,7.41,31.53,19.33,25.55,25.77,8.1,28.02,11.49,34.07,-,22.76,35.83,23.35,25.96,20.22,0.57,22.57,35.47,0.49,29.95,0.48,2.65,19.97,23.4,25.79,25.21,3.81,27.74,1.81,17.35,25.86,21.12,12.39,2.68,0.21,2.58,2.49,6.6,0.9,16.6,0.08,1.66,17.79,0.32,0.77,3.67,25.6,2.13,13.59,1.82,29.77,9.63,5.07,9.16,24.8,25.43,2.33,0.92,25.83,26.26,1.03,6.19,18.68,0.4,0.2,3.63,21.48,8.35,34.03,31.43,24.6,0.06,29.15,27.19,4.67,2.21,26.84,33.16,20.98,2.33,0.54,2.22,9.3,13.83,21.33,23.93,0.74,12.81,1.11,29.55,0.61,2.25,1,17.25,2.57,0
ell,20.41,1.17,13.06,1.02,19.51,6.36,1.51,27.15,17.19,20.69,21.81,4.39,22.31,10.49,25.15,21.93,-,28.12,20.69,20.94,18.04,0.33,18.21,30.17,0.38,24.66,0.27,1.79,17.63,19.55,20.6,20.11,3.97,23.56,1.18,14.31,21.71,19.05,10.64,2.6,0.12,1.37,0.21,5.78,0.76,14.8,0.08,1.48,11.57,0.11,0.42,3.16,21.89,1.18,22.46,1.16,25.74,7.71,4.2,7.29,20.12,22.23,1.95,0.11,19.48,19.75,0.49,4.91,16.86,0.19,0.11,2.99,16.98,6.74,28.42,26.9,20.2,0.06,23.08,21.36,4.44,1.36,22.24,23.98,15.37,1.54,0.58,2.11,8.13,8.31,18.02,20.46,0.38,11.49,0.59,25.55,0.27,1.32,0.73,15.52,1.76,0
eng,36.75,2.52,17.92,1.22,22.39,5.95,1.8,37.35,23.04,28.13,31.17,0.27,30.59,20.58,41.12,32.56,26.19,-,25.57,28.41,24.12,0.68,24.23,41.99,0.37,34.47,0.51,4.65,23.79,28.15,28.12,27.07,6.74,37.26,3.53,18.17,27.74,22.77,15.36,4.71,0.27,2.42,0.69,9.82,1.56,18.51,0.23,4.47,11.33,0.61,1.03,6.65,27.6,3.37,28.79,2.72,33.8,11.15,6.22,10.35,33.39,49.74,3.52,0.12,26.82,33.09,1.54,12.9,24.62,0.4,0.14,5.65,21.01,10.02,44.84,38.1,27.14,0.05,31.05,27.75,11.74,3.29,30.72,40.23,26.95,3.35,1.86,4.2,11.63,6.36,24.88,27.9,0.94,15.04,1.16,35.1,1.12,4.47,2.17,19.33,3.89,0
spa,19.43,1.08,12.11,1.07,19.17,6.39,1.23,25.62,16.48,18.24,23.12,4.02,20.8,10.13,24.82,21.04,20.61,25.09,-,20,16.88,0.23,17.9,29.33,0.39,27.54,0.16,2.24,16.48,18.47,19.51,20.18,3.27,21.96,1.71,13.59,23.87,18.05,10.97,2.08,0.17,2.92,0.22,5.71,0.72,13.75,0.09,1.46,11.83,0.29,0.4,2.73,21.36,1.58,20.77,1.41,23.46,6.24,4.37,7.06,19.2,21.59,1.94,0.14,19.52,20.25,0.54,4.9,16.84,0.35,0.03,2.82,17.62,7.05,28.1,26.11,19.29,0.05,21.59,20.42,4.11,2.03,20.35,23.1,13.07,0.38,0.49,2.52,7.96,5.9,17.48,19.25,0.69,9.99,0.67,24.45,0.44,2.14,1.09,14.86,2.21,0
est,22.98,1.17,13.47,1.51,21.25,7.35,5.26,29.16,18.87,23.83,23.27,7.58,25.82,10.37,29.14,25.62,20.87,30.33,21.46,-,19.08,0.4,23.81,30.99,0.35,26.79,0.33,2.3,18.27,21.64,24.43,23.86,4.52,25.63,1.63,16.02,23.2,20.69,11.82,2.94,0.21,2.16,1.17,6.27,0.92,15.69,0.07,1.57,13.4,0.39,0.65,4,25.59,1.83,27.05,1.5,27,8.76,4.97,8.44,22.71,22.32,2.16,0.21,22.5,22.63,0.89,5.24,17.61,0.33,0.12,3.71,19.66,7.55,30.3,28.32,23.33,0.07,26.49,25.14,4.23,1.88,25.51,28.13,17.9,3.15,0.63,2.74,8.65,9.83,20.01,23.82,0.71,12.59,0.96,28.3,0.49,2.28,0.98,16.6,2.41,0
fas,19.65,1.08,13.64,1.31,17.06,4.53,2.17,24.37,17.89,18.74,19.94,4.28,20.65,9.06,23.2,19.8,19.3,26.1,18.03,19.84,-,0.23,16.99,27.21,0.35,22.09,0.33,1.44,17.01,20.81,19.19,19.13,3.23,22.66,1.12,13.49,19.42,17.64,9.82,1.94,0.11,1.28,0.65,5.68,0.81,14.37,0.1,1.07,10.06,0.21,0.36,2.63,19.91,1.05,21.13,1.17,22.81,4.91,4.35,4.15,20.15,19.43,1.79,0.23,18.16,18.36,0.53,4.73,14.5,0.23,0.08,3.53,15.62,7.82,26.11,23.9,18.26,0.09,21.35,19.87,3.53,1.26,20.19,21.91,16.31,1.55,0.49,1.92,8.7,5.55,16.98,18.76,0.32,11.75,0.63,26.15,0.26,1.55,0.66,14.5,1.75,0
ful,2.27,0.3,0.3,0.1,1.96,0.5,0.82,2.23,0.73,0.83,2.05,2.02,1.76,1.51,1.2,1.64,1.34,2.4,2.16,1.87,0.69,-,1.21,2.98,0.62,2.23,0.19,0.95,0.9,0.9,1.59,1.17,0.22,2.06,1.23,1.98,2.04,1.02,1.3,0.12,0.14,0.4,0.41,0.54,0.14,0.55,0.01,0.2,1.66,0.81,0.79,0.54,1.79,0.73,1.29,0.78,1.84,0.34,0.16,0.49,1.87,2.49,0.12,0.39,2.35,2.61,1.16,0.68,1.99,0.13,0.15,0.19,1.57,0.33,2.39,2.05,1.25,0.06,1.28,1.44,0.85,1.06,1.62,1.43,1.37,0.24,0.11,0.21,0.4,2.41,0.92,1.38,0.47,0.36,0.26,1.66,0.68,1.52,0.41,1.4,1.33,0
fin,20.61,1.03,12.38,1.12,19.4,6.45,3.12,26.4,16.93,20.93,21.59,5.18,23.55,9.14,26.6,23.04,19.73,27.16,19.93,25.26,16.8,0.26,-,29.29,0.39,24.7,0.27,1.95,16.61,19.76,21.43,22.13,3.1,23.29,1.33,15.28,21.02,19.89,10.75,2.13,0.14,1.84,0.52,5.02,0.69,14.76,0.07,1.29,12.41,0.35,0.52,2.63,23.68,1.54,23.93,1.59,24.76,6.77,4.46,6.6,20.42,19.67,1.69,0.15,21.52,20.34,0.76,4.22,15.41,0.25,0.07,2.96,17.85,6.44,27.49,25.7,20.61,0.07,24.1,23.1,3.62,1.79,21.91,27.25,14.19,0.9,0.44,2.02,7.46,6.74,18.45,20.07,0.61,10.76,0.88,26,0.45,1.83,0.86,16.03,2.09,0
fra,26.7,1.04,15.36,1.21,26.01,6.43,2.67,32.16,19.44,25.14,28.74,8.32,27.34,12.12,32.96,28.53,23.88,37.17,25.6,25.22,20.2,0.54,21.86,-,0.48,32.82,0.26,2.72,20.74,22.91,25.72,24.79,3.83,29.14,1.69,16.81,28.56,21.54,13.17,2.43,0.2,3.11,0.82,6.65,0.87,16.71,0.09,1.48,15.39,0.33,0.66,3.13,25.92,2.08,25.68,1.84,29.56,7.29,4.94,6.82,25.86,26.21,2.1,0.19,24.51,25.12,0.89,6.06,23.08,0.37,0.07,3.66,20.91,8.13,37.84,34.62,24.47,0.07,28.12,26.07,4.81,2.02,26.69,31.36,17.17,0.75,0.59,2.49,9.42,9.87,22.03,23.98,0.73,11.98,0.97,30.26,0.64,2.27,1.16,17.61,2.74,0
gle,1.07,0.14,0.07,0.04,0.92,0.17,0.45,1.43,0.19,0.39,0.82,1.27,1.13,1.78,0.7,0.57,0.86,1.83,1.24,1.46,0.22,0,1.2,1.71,-,1.66,0.13,0.72,0.72,0.38,0.83,0.81,0.11,1.2,0.79,0.76,1.77,0.46,1.01,0.03,0.09,0.14,0.22,0.56,0.04,0.18,0,0.07,1.35,0.17,0.3,0.23,1.22,0.63,0.54,0.9,0.91,0.14,0.14,0.22,0.64,2.08,0.03,0.18,1.15,1.26,0.31,0.98,1.54,0.13,0.03,0.21,1.26,0.29,1.68,1.24,0.79,0,1.13,1.24,0.94,0.37,0.41,0.56,0.77,0.13,0.09,0.2,0.13,1.51,0.27,0.46,0.26,0.1,0.14,0.43,0.2,0.42,0.36,0.17,0.58,0
glg,24.86,1.15,13.99,1.24,28.88,7.73,5.54,30.4,18.54,23.56,30.07,7.65,25.66,11.74,30.69,26.52,23.66,33.68,27.65,24.11,19.48,0.61,21.06,37.06,0.45,-,0.29,2.62,19.63,22.13,24.24,23.22,3.86,27.85,1.87,16.06,26.87,20.44,12.68,2.71,0.18,3.29,0.73,6.43,0.87,15.53,0.11,1.69,14.61,0.36,0.69,3.73,24.76,2.03,24.4,1.82,28.76,8.61,4.74,8.79,24.02,26.02,2.15,0.25,22.26,24.41,0.91,5.91,21.14,0.37,0.13,3.76,19.91,7.85,34.81,32.36,23.22,0.06,26.62,24.75,4.85,2.33,25.52,29.24,19.26,2.46,0.52,3.2,8.95,12.79,20.8,22.8,0.83,12.17,0.95,28.93,0.62,2.39,1.15,17.05,2.43,0
guj,0.99,0.14,0.21,0.04,0.4,0.15,0.19,1.1,0.55,0.42,0.89,0.06,0.62,0.99,0.44,0.51,0.32,0.5,0.59,0.84,0.27,0,0.51,0.71,0.26,0.75,-,0.18,0.5,1.09,0.55,0.92,0.1,0.3,0.22,0.51,0.78,0.18,0.86,0.18,0.03,0.02,0.05,0.54,0.2,0.2,0.01,0.1,0.21,0.01,0.07,0.14,1.07,0.19,0.77,0.95,0.99,0.72,0.45,0.81,0.28,1.29,0.18,0.37,0.63,0.93,0.12,0.7,0.35,0.04,0.01,1.34,0.55,0.24,0.64,0.44,0.42,0.02,0.77,0.57,0.42,0.12,0.84,0.52,0.53,0.45,0.05,0.32,0.26,0.42,0.32,0.58,0.07,0.32,0.02,1.04,0.01,0.1,0.06,0.22,0.12,0
hau,6.24,1.23,1.81,0.23,4.17,1.18,2.09,5.85,2.62,3.16,5.69,4.67,4.58,5,5.36,4.34,5.36,8.57,5.8,4.62,3.63,0.2,3.85,6.79,0.71,6.52,0.5,-,4.11,3.97,4.51,4.83,1.2,6.46,3.63,4.81,5.46,2.79,3.3,0.53,0.12,0.31,1.47,1.85,0.47,1.82,0.03,0.38,4.1,0.85,0.9,1.7,4.99,1.79,4.34,1.74,5.72,1.19,0.78,1.57,5.93,7.08,0.59,1.32,5.01,5.76,1.2,4.25,4.65,0.25,0.18,0.89,4.6,1.62,7.12,6.2,4.01,0.05,4.72,4.31,3.36,2.96,4.73,5.19,5.14,0.82,0.36,1.22,2.09,5.97,2.74,4.29,0.83,1.92,0.59,7.02,0.71,2.87,1.63,4.09,3.76,0
heb,22.84,1.15,14.51,1.13,19.34,4.18,2.2,27.29,17.39,21.06,21.98,4.11,22.82,9.27,26.41,22.43,20.87,29,19.56,21.53,19.18,0.22,18.5,30.41,0.37,25.08,0.38,1.53,-,20.87,21.91,19.9,3.22,24.36,1.18,14.32,20.64,17.86,10.71,2.3,0.09,1.17,0.58,6.02,0.7,14.56,0.09,1.12,10.81,0.17,0.36,2.81,21.88,0.86,22.65,1.11,26.22,4.66,4.5,3.54,21.58,21.84,2.12,0.24,19.78,20.59,0.48,4.6,15.72,0.17,0.15,3.5,16.95,7.28,29.18,26.61,20.64,0.07,23.82,22.27,3.7,1.22,22.84,25.31,16.85,1.12,0.5,2.25,7.89,5.15,17.72,21.15,0.3,11.07,0.62,26.76,0.24,1.63,0.55,14.45,1.7,0
hin,20.11,1.76,12.18,2.58,16.37,6.04,3.73,23.87,21.77,17.38,18.94,5.21,19.14,9.28,22.77,19.4,17.47,27.89,16.56,18.5,17.54,0.21,15.66,25.88,0.38,20.61,0.66,1.79,15.93,-,17.8,17.83,4.16,21.03,1.29,12.21,17.86,18.01,9.78,2.6,0.12,1.18,0.79,6.49,1.7,13.91,0.08,1.41,10.41,0.15,0.32,3.35,19.05,1.17,19.69,1.17,21.9,9.99,5.07,12.63,19.9,20.68,2.49,1.18,17.41,17.94,0.52,4.88,14.23,0.23,0.16,7.01,14.5,8.72,24.42,23.11,16.85,0.11,19.52,18.95,3.91,1.45,20.3,21.53,16.8,3.83,0.73,2.43,8.11,5.99,16.51,17.64,0.35,16.35,0.75,23.85,0.23,1.81,0.61,13.51,1.88,0
hrv,23.89,1.26,14.3,1.4,22.46,7.7,3.06,31.69,18.87,31.78,24.15,7.66,28.81,10.95,29.63,26.07,22.77,31.32,22.44,25.32,19.38,0.41,21.84,32.88,0.35,27.72,0.33,2.4,19.67,22.03,-,24.38,4.01,27.21,1.8,16.18,24.49,20.56,12.14,2.56,0.17,2.4,1.25,6.63,0.99,15.45,0.1,1.86,13.04,0.36,0.8,3.7,25.92,1.96,10.59,1.74,32.14,8.92,5.44,8.8,23.64,23.26,2.17,0.75,23.43,23.05,1.09,6.03,18.21,0.43,0.22,3.75,20.98,7.54,31.22,29.71,24.4,0.06,29.38,29.24,4.61,2.38,26.61,28.96,20.49,3.14,0.58,2.99,9.44,9.91,20.28,25.16,0.75,12.55,1.24,28.77,0.59,2.47,1.01,16.89,2.51,0
hun,21.64,1.27,13.15,1.31,21.04,7.21,4.37,27.98,18.19,22.46,22.18,7.25,24.52,9.86,27.15,24.35,20.69,28.47,20.94,23.94,18.12,0.46,20.42,30.01,0.45,25.53,0.29,2.62,17.6,20.28,22.78,-,3.75,24.58,1.59,15.03,22.9,20.32,11.23,2.65,0.19,2.46,0.88,5.7,0.94,15.47,0.09,1.55,12.78,0.39,0.77,3.25,23.58,1.88,23.32,1.65,26.23,7.98,5.05,7.79,21.83,21.57,2.08,0.42,22.35,21.26,0.92,5.15,16.82,0.35,0.18,3.12,18.55,7.55,29.2,28.24,21.28,0.09,24.99,24.21,4.2,2.17,23.5,26.57,16.23,1.23,0.52,2.24,8.74,9.05,19.99,21.07,0.73,11.53,1.11,27.54,0.49,2.27,0.97,16.84,2.48,0
